58898	65697
65697	65697
59165	59241
59241	59241
59198	59198
59268	59198
59240	59198
59201	59201
59243	59201
58673	58690
58690	58690
54305	54501
54501	54501
54356	54467
54467	54467
54426	54457
54457	54457
63218	63219
63219	63219
63398	63399
63399	63399
47888	51813
51813	51813
36513	36513
36514	36513
31816	36456
36456	36456
32034	32034
36457	32034
32035	36458
36458	36458
32036	36459
36459	36459
32037	36460
36460	36460
32038	36463
36463	36463
32039	36461
36461	36461
32041	36462
36462	36462
26072	31166
31166	31166
47035	51721
51721	51721
25105	51732
51732	51732
23274	31265
31265	31265
31002	31084
31084	31084
20044	65696
65696	65696
20825	31129
31129	31129
24715	31128
31128	31128
41141	31128
24718	31131
31131	31131
9213	67326
67326	67326
9824	21891
21891	21891
10832	21892
21892	21892
2199	31122
31122	31122
2250	21924
21924	21924
3832	21914
21914	21914
